,x,y
0,105,40
1,104,41
2,103,41
3,102,41
4,101,41
5,100,41
6,99,41
7,98,41
8,97,41
9,96,42
10,95,42
11,94,42
12,93,42
13,92,42
14,91,42
15,90,43
16,89,43
17,88,43
18,87,43
19,86,43
20,85,44
21,84,44
22,83,44
23,82,44
24,81,45
25,80,45
26,79,45
27,78,46
28,77,46
29,76,46
30,75,47
31,74,47
32,73,48
33,72,48
34,71,48
35,70,49
36,69,49
37,68,50
38,67,50
39,66,51
40,65,52
41,64,52
42,63,52
43,62,53
44,61,54
45,60,54
46,59,55
47,58,56
48,57,57
49,56,58
50,55,58
51,54,59
52,53,60
53,52,61
54,51,62
55,50,63
56,49,64
57,49,65
58,48,66
59,47,67
60,47,68
61,46,69
62,45,70
63,45,71
64,44,72
65,44,73
66,43,74
67,43,75
68,42,76
69,42,77
70,42,78
71,42,79
72,42,80
73,42,81
74,42,82
75,42,83
76,42,84
77,41,85
78,40,86
79,39,85
80,39,86
81,39,87
82,39,88
83,39,89
84,40,89
85,41,89
86,42,89
87,43,89
88,44,89
89,45,89
90,46,89
91,47,89
92,48,89
93,49,89
94,50,89
95,51,89
96,52,89
97,53,89
98,54,89
99,55,89
100,56,89
101,57,89
102,58,89
103,59,89
104,60,89
105,61,89
106,62,89
107,63,89
108,64,89
109,65,89
110,66,89
111,67,89
112,68,89
113,69,89
114,70,89
115,71,89
116,72,89
117,73,89
118,74,89
119,75,89
120,76,89
121,77,89
122,78,89
123,79,89
124,80,89
125,81,89
126,82,89
127,83,89
128,84,89
129,85,89
130,86,89
131,87,89
132,88,89
133,89,89
134,90,89
135,91,89
136,92,89
137,93,89
138,94,89
139,95,89
140,96,89
141,97,89
142,98,89
143,99,89
144,100,89
145,101,89
146,102,89
147,103,89
148,104,89
149,105,89
150,106,89
151,107,89
152,108,89
153,109,89
154,110,89
155,111,89
156,112,89
157,113,89
158,114,89
159,115,89
160,116,89
161,117,89
162,118,89
163,119,89
164,120,89
165,121,89
166,122,89
167,123,89
168,124,89
169,125,89
170,126,89
171,127,89
172,128,89
173,129,89
174,130,89
175,131,89
176,132,89
177,133,89
178,134,89
179,135,89
180,136,89
181,137,89
182,138,89
183,139,89
184,140,89
185,141,89
186,142,89
187,143,89
188,144,89
189,145,89
190,146,89
191,147,89
192,148,89
193,149,89
194,150,89
195,151,89
196,152,89
197,153,89
198,154,89
199,155,89
200,156,89
201,157,89
202,158,89
203,159,89
204,160,89
205,161,89
206,162,89
207,163,89
208,164,89
209,165,89
210,166,89
211,167,89
212,168,89
213,169,89
214,170,89
215,171,89
216,172,89
217,173,89
218,174,89
219,175,89
220,176,89
221,177,89
222,178,89
223,179,89
224,180,89
225,181,89
226,182,89
227,183,89
228,184,89
229,185,89
230,186,89
231,187,89
232,188,89
233,189,89
234,190,89
235,191,89
236,192,89
237,193,89
238,194,89
239,195,89
240,196,89
241,197,89
242,198,89
243,199,89
244,200,89
245,201,89
246,202,89
247,203,89
248,204,89
249,205,89
250,206,89
251,207,89
252,208,89
253,209,89
254,210,89
255,211,89
256,212,89
257,213,89
258,214,89
259,215,89
260,216,89
261,217,89
262,218,89
263,219,89
264,220,89
265,221,89
266,222,89
267,223,89
268,224,89
269,225,89
270,224,88
271,223,87
272,223,86
273,223,85
274,222,84
275,222,83
276,221,82
277,220,81
278,220,80
279,219,79
280,218,78
281,218,77
282,217,76
283,216,75
284,216,74
285,215,73
286,214,72
287,213,71
288,212,70
289,211,69
290,210,68
291,209,67
292,208,66
293,207,66
294,206,65
295,205,64
296,204,63
297,203,63
298,202,62
299,201,61
300,200,60
301,199,60
302,198,59
303,197,59
304,196,58
305,195,57
306,194,57
307,193,56
308,192,56
309,191,55
310,190,55
311,189,54
312,188,54
313,187,54
314,186,53
315,185,53
316,184,52
317,183,52
318,182,51
319,181,51
320,180,51
321,179,50
322,178,50
323,177,50
324,176,49
325,175,49
326,174,49
327,173,48
328,172,48
329,171,48
330,170,47
331,169,47
332,168,47
333,167,46
334,166,46
335,165,46
336,164,46
337,163,45
338,162,45
339,161,45
340,160,44
341,159,44
342,158,44
343,157,44
344,156,44
345,155,44
346,154,43
347,153,43
348,152,43
349,151,43
350,150,43
351,149,43
352,148,42
353,147,42
354,146,42
355,145,42
356,144,42
357,143,42
358,142,41
359,141,41
360,140,41
361,139,41
362,138,41
363,137,41
364,136,41
365,135,41
366,134,41
367,133,41
368,132,41
369,131,41
370,130,40
371,129,40
372,128,40
373,127,40
374,126,40
375,125,40
376,124,40
377,123,40
378,122,40
379,121,40
380,120,40
381,119,40
382,118,40
383,117,40
384,116,40
385,115,40
386,114,40
387,113,40
388,112,40
389,111,40
390,110,40
391,109,40
392,108,40
393,107,40
394,106,40
