,x,y
0,110,23
1,109,24
2,108,24
3,107,24
4,106,24
5,105,24
6,104,24
7,103,24
8,102,24
9,101,24
10,100,24
11,99,24
12,98,25
13,97,25
14,96,25
15,95,25
16,94,25
17,93,25
18,92,25
19,91,26
20,90,26
21,89,26
22,88,26
23,87,26
24,86,26
25,85,27
26,84,27
27,83,27
28,82,28
29,81,28
30,80,28
31,79,29
32,78,29
33,77,29
34,76,30
35,75,30
36,74,30
37,73,31
38,72,31
39,71,32
40,70,32
41,69,32
42,68,33
43,67,34
44,66,34
45,65,35
46,64,35
47,63,36
48,62,36
49,61,37
50,61,38
51,60,39
52,59,40
53,58,40
54,57,41
55,56,41
56,55,42
57,54,42
58,53,43
59,52,43
60,51,44
61,50,45
62,50,46
63,49,47
64,48,48
65,48,49
66,47,50
67,46,51
68,46,52
69,45,53
70,44,54
71,43,54
72,42,54
73,41,55
74,40,56
75,39,57
76,38,58
77,38,59
78,37,60
79,37,61
80,36,62
81,36,63
82,36,64
83,35,65
84,35,66
85,35,67
86,35,68
87,35,69
88,35,70
89,35,71
90,35,72
91,35,73
92,35,74
93,34,75
94,34,76
95,33,77
96,33,78
97,33,79
98,33,80
99,33,81
100,33,82
101,33,83
102,33,84
103,34,84
104,35,84
105,36,84
106,37,84
107,38,84
108,39,84
109,40,84
110,41,84
111,42,84
112,43,84
113,44,84
114,45,84
115,46,84
116,47,84
117,48,84
118,49,84
119,50,84
120,51,84
121,52,84
122,53,84
123,54,84
124,55,84
125,56,84
126,57,84
127,58,84
128,59,84
129,60,84
130,61,84
131,62,84
132,63,84
133,64,84
134,65,84
135,66,84
136,67,84
137,68,84
138,69,84
139,70,84
140,71,84
141,72,84
142,73,84
143,74,84
144,75,84
145,76,84
146,77,84
147,78,84
148,79,84
149,80,84
150,81,84
151,82,84
152,83,84
153,84,84
154,85,84
155,86,84
156,87,84
157,88,84
158,89,84
159,90,84
160,91,84
161,92,84
162,93,84
163,94,84
164,95,84
165,96,84
166,97,84
167,98,84
168,99,84
169,100,84
170,101,84
171,102,84
172,103,84
173,104,84
174,105,84
175,106,84
176,107,84
177,108,84
178,109,84
179,110,84
180,111,84
181,112,84
182,113,84
183,114,84
184,115,84
185,116,84
186,117,84
187,118,84
188,119,84
189,120,84
190,121,84
191,122,84
192,123,84
193,124,84
194,125,84
195,126,84
196,127,84
197,128,84
198,129,84
199,130,84
200,131,84
201,132,84
202,133,84
203,134,84
204,135,84
205,136,84
206,137,84
207,138,84
208,139,84
209,140,84
210,141,84
211,142,84
212,143,84
213,144,84
214,145,84
215,146,84
216,147,84
217,148,84
218,149,84
219,150,84
220,151,84
221,152,84
222,153,84
223,154,84
224,155,84
225,156,84
226,157,84
227,158,84
228,159,84
229,160,84
230,161,84
231,162,84
232,163,84
233,164,84
234,165,84
235,166,84
236,167,84
237,168,84
238,169,84
239,170,84
240,171,84
241,172,84
242,173,84
243,174,84
244,175,84
245,176,84
246,177,84
247,178,84
248,179,84
249,180,84
250,181,84
251,182,84
252,183,84
253,184,84
254,185,84
255,186,84
256,187,84
257,188,84
258,189,84
259,190,84
260,191,84
261,192,84
262,193,84
263,194,84
264,195,84
265,196,84
266,197,84
267,198,84
268,199,84
269,200,84
270,201,84
271,202,84
272,203,84
273,204,84
274,205,84
275,206,84
276,207,84
277,208,84
278,209,84
279,210,84
280,211,84
281,212,84
282,213,84
283,214,84
284,215,84
285,216,84
286,217,84
287,218,84
288,219,84
289,220,84
290,221,84
291,222,84
292,223,84
293,224,84
294,225,84
295,226,84
296,227,84
297,228,84
298,227,83
299,227,82
300,227,81
301,226,80
302,226,79
303,225,78
304,225,77
305,225,76
306,224,75
307,224,74
308,223,73
309,223,72
310,222,71
311,222,70
312,221,69
313,221,68
314,221,67
315,221,66
316,221,65
317,221,64
318,221,63
319,220,63
320,219,63
321,218,62
322,218,61
323,217,60
324,216,59
325,215,58
326,214,57
327,213,56
328,212,55
329,211,54
330,210,53
331,209,52
332,208,51
333,207,50
334,206,49
335,205,48
336,204,47
337,203,46
338,202,46
339,201,45
340,200,44
341,199,44
342,198,43
343,197,42
344,196,42
345,195,41
346,194,41
347,193,40
348,192,40
349,191,39
350,190,39
351,189,38
352,188,38
353,187,37
354,186,37
355,185,37
356,184,36
357,183,35
358,182,35
359,181,35
360,180,34
361,179,34
362,178,34
363,177,33
364,176,33
365,175,33
366,174,32
367,173,32
368,172,31
369,171,31
370,170,31
371,169,30
372,168,30
373,167,30
374,166,30
375,165,29
376,164,29
377,163,29
378,162,29
379,161,28
380,160,28
381,159,28
382,158,28
383,157,27
384,156,27
385,155,27
386,154,27
387,153,27
388,152,26
389,151,26
390,150,26
391,149,26
392,148,26
393,147,26
394,146,25
395,145,25
396,144,25
397,143,25
398,142,25
399,141,25
400,140,25
401,139,25
402,138,24
403,137,24
404,136,24
405,135,24
406,134,24
407,133,24
408,132,24
409,131,24
410,130,24
411,129,24
412,128,24
413,127,24
414,126,23
415,125,23
416,124,23
417,123,23
418,122,23
419,121,23
420,120,23
421,119,23
422,118,23
423,117,23
424,116,23
425,115,23
426,114,23
427,113,23
428,112,23
429,111,23
