,x,y
0,168,13
1,167,14
2,166,14
3,165,14
4,164,14
5,163,14
6,162,14
7,161,14
8,160,14
9,159,14
10,158,14
11,157,15
12,156,15
13,155,15
14,154,15
15,153,15
16,152,15
17,151,15
18,150,15
19,149,15
20,148,16
21,147,16
22,146,16
23,145,16
24,144,16
25,143,16
26,142,16
27,141,17
28,140,17
29,139,17
30,138,17
31,137,17
32,136,17
33,135,17
34,134,18
35,133,18
36,132,18
37,131,18
38,130,18
39,129,18
40,128,19
41,127,19
42,126,19
43,125,20
44,124,20
45,123,20
46,122,20
47,121,20
48,120,21
49,119,21
50,118,21
51,117,22
52,116,22
53,115,22
54,114,22
55,113,23
56,112,23
57,111,23
58,110,23
59,109,24
60,108,24
61,107,24
62,106,25
63,105,25
64,104,26
65,103,26
66,102,26
67,101,26
68,100,27
69,99,27
70,98,28
71,97,28
72,96,28
73,95,28
74,94,28
75,93,29
76,92,29
77,91,29
78,90,30
79,89,31
80,88,31
81,87,32
82,86,32
83,85,33
84,84,33
85,83,34
86,82,34
87,81,35
88,80,35
89,79,36
90,78,36
91,77,36
92,76,36
93,75,37
94,74,38
95,73,38
96,72,39
97,71,40
98,70,41
99,69,41
100,68,42
101,67,43
102,66,43
103,65,44
104,64,44
105,63,44
106,62,45
107,61,45
108,60,46
109,59,47
110,58,48
111,57,49
112,56,49
113,55,50
114,54,51
115,53,52
116,52,52
117,51,53
118,50,54
119,49,55
120,48,56
121,47,56
122,46,57
123,45,58
124,44,58
125,44,59
126,43,60
127,42,61
128,41,62
129,40,63
130,39,64
131,38,65
132,37,65
133,36,66
134,35,67
135,34,68
136,34,69
137,33,70
138,32,71
139,31,72
140,30,73
141,29,74
142,28,75
143,27,76
144,26,77
145,25,78
146,25,79
147,24,80
148,23,80
149,23,81
150,22,82
151,22,83
152,21,84
153,20,85
154,20,86
155,19,87
156,18,88
157,18,89
158,17,90
159,17,91
160,17,92
161,16,93
162,16,94
163,15,95
164,15,96
165,14,97
166,13,98
167,12,99
168,12,100
169,12,101
170,12,102
171,11,103
172,11,104
173,10,105
174,10,106
175,10,107
176,9,108
177,9,109
178,9,110
179,9,111
180,9,112
181,9,113
182,8,114
183,8,115
184,8,116
185,7,117
186,7,118
187,7,119
188,7,120
189,7,121
190,8,121
191,9,121
192,10,121
193,11,121
194,12,121
195,13,121
196,14,121
197,15,121
198,16,121
199,17,121
200,18,121
201,19,121
202,20,121
203,21,121
204,22,121
205,23,121
206,24,121
207,25,121
208,26,121
209,27,121
210,28,121
211,29,121
212,30,121
213,31,121
214,32,121
215,33,121
216,34,121
217,35,121
218,36,121
219,37,121
220,38,121
221,39,121
222,40,121
223,41,121
224,42,121
225,43,121
226,44,121
227,45,121
228,46,121
229,47,121
230,48,121
231,49,121
232,50,121
233,51,121
234,52,121
235,53,121
236,54,121
237,55,121
238,56,121
239,57,121
240,58,121
241,59,121
242,60,121
243,61,121
244,62,121
245,63,121
246,64,121
247,65,121
248,66,121
249,67,121
250,68,121
251,69,121
252,70,121
253,71,121
254,72,121
255,73,121
256,74,121
257,75,121
258,76,121
259,77,121
260,78,121
261,79,121
262,80,121
263,81,121
264,82,121
265,83,121
