,x,y
0,182,43
1,182,44
2,181,45
3,180,45
4,179,45
5,178,45
6,177,45
7,176,45
8,175,45
9,174,45
10,173,45
11,172,46
12,171,46
13,170,46
14,169,46
15,168,47
16,167,47
17,166,47
18,165,47
19,164,47
20,163,48
21,162,48
22,161,48
23,160,48
24,159,48
25,158,49
26,157,49
27,156,49
28,155,49
29,154,49
30,153,50
31,152,50
32,151,50
33,150,50
34,149,50
35,148,51
36,147,51
37,146,51
38,145,51
39,144,51
40,143,52
41,142,52
42,141,52
43,140,52
44,139,53
45,138,53
46,137,53
47,136,53
48,135,53
49,134,54
50,133,54
51,132,54
52,131,54
53,130,54
54,129,55
55,128,55
56,127,55
57,126,55
58,125,55
59,124,56
60,123,56
61,122,56
62,121,57
63,120,57
64,119,58
65,118,58
66,117,58
67,116,59
68,115,59
69,114,60
70,113,60
71,112,60
72,111,61
73,110,61
74,109,61
75,108,62
76,107,62
77,106,63
78,105,63
79,104,63
80,103,64
81,102,64
82,101,65
83,100,66
84,99,66
85,98,67
86,97,67
87,96,68
88,95,69
89,94,69
90,93,70
91,92,70
92,91,71
93,90,72
94,89,72
95,88,73
96,87,73
97,86,74
98,85,75
99,84,75
100,83,76
101,82,76
102,81,77
103,80,78
104,79,78
105,78,79
106,77,80
107,77,81
108,76,82
109,75,83
110,75,84
111,74,85
112,73,86
113,73,87
114,72,88
115,71,89
116,70,90
117,69,90
118,68,91
119,67,92
120,66,92
121,65,93
122,64,93
123,63,94
124,62,95
125,61,96
126,60,97
127,60,98
128,59,99
129,58,100
130,57,100
131,57,101
132,56,102
133,55,103
134,54,104
135,53,105
136,52,106
137,51,107
138,51,108
139,50,109
140,49,110
141,48,111
142,48,112
143,47,113
144,47,114
145,46,115
146,46,116
147,46,117
148,45,118
149,45,119
150,45,120
151,46,121
152,46,122
153,47,122
154,48,122
155,49,122
156,50,122
157,51,122
158,52,122
159,53,122
160,54,122
161,55,122
162,56,122
163,57,122
164,58,122
165,59,122
166,60,122
167,61,122
168,62,122
169,63,122
170,64,122
171,65,122
172,66,122
173,67,122
174,68,122
175,69,122
176,70,122
177,71,122
178,72,122
179,73,122
180,74,122
181,75,122
182,76,122
183,77,122
184,78,122
185,79,122
186,80,122
187,81,122
188,82,122
189,83,122
190,84,122
191,85,122
192,86,122
193,87,122
194,88,122
195,89,122
196,90,122
197,91,121
198,92,121
199,93,122
200,94,122
201,95,122
202,96,122
203,97,122
204,98,122
205,99,122
206,100,122
207,101,121
208,102,121
209,103,121
210,104,121
211,105,122
212,106,122
213,107,122
214,108,122
215,109,121
216,110,121
217,111,121
218,112,121
219,113,121
220,114,121
221,115,121
222,116,121
223,117,121
224,118,121
225,119,121
226,120,121
227,121,121
228,122,121
229,123,121
230,124,121
231,125,121
232,126,121
233,127,121
234,128,121
235,129,121
236,130,121
237,131,121
238,132,121
239,133,121
240,134,121
241,135,121
242,136,121
243,137,121
244,138,121
245,139,121
246,140,121
247,141,121
248,142,121
249,143,121
250,144,121
251,145,121
252,146,121
253,147,121
254,148,121
255,149,121
256,150,121
257,151,121
258,152,121
259,153,121
260,154,121
261,155,121
262,156,121
263,157,121
264,158,121
265,159,121
266,160,121
267,161,121
268,162,121
269,163,121
270,164,121
271,165,121
272,166,121
273,167,121
274,168,121
275,169,121
276,170,121
277,171,121
278,172,121
279,173,121
280,174,121
281,175,121
282,176,121
283,177,121
284,178,121
285,179,121
286,180,121
287,181,121
288,182,121
289,183,121
290,184,121
291,185,121
292,186,121
293,187,121
294,188,121
295,189,121
296,190,121
297,191,121
298,192,121
299,193,121
300,194,121
301,195,121
302,196,121
303,197,121
304,198,121
305,199,121
306,200,121
307,201,121
308,202,121
309,203,121
310,204,121
311,205,121
312,206,121
313,207,121
314,208,121
315,209,121
316,210,121
317,211,121
318,212,121
319,213,121
320,214,121
321,215,121
322,216,121
323,217,121
324,218,121
325,219,121
326,220,121
327,221,121
328,222,121
329,223,121
330,224,121
331,225,121
332,226,121
333,227,121
334,228,121
335,229,121
336,230,121
337,231,121
338,232,121
339,233,121
340,234,121
341,235,121
342,236,121
343,237,121
344,238,121
345,239,121
346,240,121
347,241,121
348,242,121
349,243,121
350,244,121
351,245,121
352,246,121
353,247,121
354,248,122
355,249,122
356,250,122
357,251,122
358,252,121
359,253,121
360,254,121
361,255,121
362,256,121
363,257,121
364,258,121
365,259,121
366,260,121
367,261,121
368,262,121
369,263,121
370,264,121
371,265,121
372,266,121
373,267,121
374,268,121
375,269,121
376,270,121
377,271,121
378,272,121
379,273,121
380,274,121
381,275,121
382,276,121
383,277,121
384,278,121
385,279,121
386,280,121
387,281,121
388,282,121
389,283,121
390,284,121
391,285,121
392,286,121
393,287,121
394,288,121
395,289,121
396,290,121
397,291,121
398,292,121
399,293,121
400,294,121
401,295,121
402,296,121
403,297,121
404,298,121
405,299,121
406,300,121
407,301,121
408,302,121
409,303,121
410,304,121
411,305,121
412,306,121
413,307,121
414,308,121
415,309,121
416,310,121
417,311,121
418,312,121
419,313,121
420,314,121
421,315,121
422,316,121
423,317,121
424,318,121
425,319,121
426,320,121
