,x,y
0,225,36
1,224,37
2,223,37
3,222,37
4,221,37
5,220,37
6,219,37
7,218,37
8,217,38
9,216,38
10,215,38
11,214,38
12,213,38
13,212,38
14,211,38
15,210,39
16,209,39
17,208,39
18,207,39
19,206,39
20,205,39
21,204,39
22,203,39
23,202,40
24,201,40
25,200,40
26,199,40
27,198,40
28,197,40
29,196,40
30,195,41
31,194,41
32,193,41
33,192,41
34,191,41
35,190,41
36,189,42
37,188,42
38,187,42
39,186,42
40,185,42
41,184,43
42,183,43
43,182,43
44,181,43
45,180,43
46,179,44
47,178,44
48,177,44
49,176,44
50,175,45
51,174,45
52,173,45
53,172,45
54,171,45
55,170,46
56,169,46
57,168,46
58,167,46
59,166,46
60,165,47
61,164,47
62,163,47
63,162,47
64,161,47
65,160,47
66,159,47
67,158,47
68,157,48
69,156,48
70,155,48
71,154,48
72,153,49
73,152,49
74,151,49
75,150,50
76,149,50
77,148,50
78,147,51
79,146,51
80,145,51
81,144,52
82,143,52
83,142,52
84,141,53
85,140,53
86,139,53
87,138,54
88,137,54
89,136,54
90,135,55
91,134,55
92,133,55
93,132,56
94,131,57
95,130,57
96,129,58
97,128,58
98,127,58
99,126,59
100,125,59
101,124,60
102,123,60
103,122,60
104,121,61
105,120,61
106,119,62
107,118,62
108,117,63
109,116,63
110,115,63
111,114,64
112,113,64
113,112,65
114,111,66
115,110,66
116,109,67
117,108,67
118,107,68
119,106,69
120,105,69
121,104,70
122,103,70
123,102,71
124,101,71
125,100,71
126,99,72
127,98,73
128,97,73
129,96,74
130,95,75
131,94,76
132,93,77
133,92,77
134,91,78
135,90,79
136,89,80
137,88,80
138,87,81
139,86,82
140,85,83
141,84,83
142,83,84
143,82,85
144,81,86
145,80,86
146,79,87
147,78,88
148,78,89
149,77,90
150,76,91
151,76,92
152,75,93
153,74,94
154,74,95
155,73,96
156,73,97
157,72,98
158,71,99
159,71,100
160,70,101
161,70,102
162,69,103
163,68,104
164,68,105
165,67,106
166,66,107
167,66,108
168,65,109
169,65,110
170,64,111
171,63,112
172,63,113
173,62,114
174,62,115
175,62,116
176,62,117
177,63,117
178,64,117
179,65,117
180,66,117
181,67,117
182,68,117
183,69,117
184,70,117
185,71,117
186,72,117
187,73,117
188,74,117
189,75,117
190,76,117
191,77,117
192,78,117
193,79,117
194,80,117
195,81,117
196,82,117
197,83,117
198,84,117
199,85,117
200,86,117
201,87,117
202,88,117
203,89,117
204,90,117
205,91,117
206,92,117
207,93,117
208,94,117
209,95,117
210,96,117
211,97,117
212,98,117
213,99,117
214,100,117
215,101,117
216,102,117
217,103,117
218,104,117
219,105,117
220,106,117
221,107,117
222,108,117
223,109,117
224,110,117
225,111,117
226,112,117
227,113,117
228,114,117
229,115,117
230,116,117
231,117,117
232,118,117
233,119,117
234,120,117
235,121,117
236,122,117
237,123,117
238,124,117
239,125,117
240,126,117
241,127,117
242,128,117
243,129,117
244,130,117
245,131,117
246,132,117
247,133,117
248,134,117
249,135,117
250,136,117
251,137,117
252,138,117
253,139,117
254,140,117
255,141,117
256,142,117
257,143,117
258,144,117
259,145,117
260,146,117
261,147,117
262,148,117
263,149,117
264,150,117
265,151,117
266,152,117
267,153,117
268,154,117
269,155,117
270,156,117
271,157,117
272,158,117
273,159,117
274,160,117
275,161,117
276,162,117
277,163,117
278,164,117
279,165,117
280,166,117
281,167,117
282,168,117
283,169,117
284,170,117
285,171,117
286,172,117
287,173,117
288,174,117
289,175,117
290,176,117
291,177,117
292,178,117
