,b,angle,x/z,T_max
0,0.1,-0.11215708706473472,-18.798191509886163,1.0
1,0.1,-0.11355551873855436,-18.588610909918184,1.01
2,0.1,-0.11496253966390475,-18.382939057472456,1.02
3,0.1,-0.11637825817701286,-18.181063009229014,1.03
4,0.1,-0.11780278332709174,-17.982874171502004,1.04
5,0.1,-0.11923622488516221,-17.788268093095255,1.05
6,0.1,-0.12067869335292623,-17.597144269880026,1.06
7,0.1,-0.12213029997169725,-17.409405960328336,1.07
8,0.1,-0.12359115673139005,-17.22496001129184,1.08
9,0.1,-0.1250613763795524,-17.043716693368626,1.09
10,0.1,-0.1265410724304607,-16.865589545247758,1.1
11,0.1,-0.12803035917426728,-16.690495226465696,1.11
12,0.1,-0.12952935168620436,-16.518353378048886,1.12
13,0.1,-0.1310381658358366,-16.349086490554164,1.1300000000000001
14,0.1,-0.13255691829638278,-16.182619779052796,1.1400000000000001
15,0.1,-0.1340857265540916,-16.01888106463563,1.1500000000000001
16,0.1,-0.13562470891766348,-15.857800662045882,1.1600000000000001
17,0.1,-0.13717398452774943,-15.699311273073132,1.1700000000000002
18,0.1,-0.13873367336648285,-15.54334788536672,1.1800000000000002
19,0.1,-0.14030389626709203,-15.38984767634992,1.1900000000000002
20,0.1,-0.14188477492357476,-15.238749921937353,1.2000000000000002
21,0.1,-0.14347643190040368,-15.089995909777887,1.2100000000000002
22,0.1,-0.1450789906423219,-14.943528856763344,1.2200000000000002
23,0.1,-0.14669257548418707,-14.799293830560385,1.2300000000000002
24,0.1,-0.1483173116608718,-14.657237674938449,1.2400000000000002
25,0.1,-0.1499533253172332,-14.517308938681223,1.2500000000000002
26,0.1,-0.15160074351814395,-14.37945780788263,1.2600000000000002
27,0.1,-0.15325969425858516,-14.243636041440777,1.2700000000000002
28,0.1,-0.1549303064737896,-14.109796909575072,1.2800000000000002
29,0.1,-0.1566127100494601,-13.977895135202463,1.2900000000000003
30,0.1,-0.1583070358320658,-13.847886838018857,1.3000000000000003
31,0.1,-0.16001341563915833,-13.71972948114127,1.3100000000000003
32,0.1,-0.1617319822698054,-13.593381820174857,1.3200000000000003
33,0.1,-0.16346286951503772,-13.468803854577295,1.3300000000000003
34,0.1,-0.16520621216840123,-13.345956781200496,1.3400000000000003
35,0.1,-0.16696214603656273,-13.22480294989676,1.3500000000000003
36,0.1,-0.16873080794994894,-13.105305821083217,1.3600000000000003
37,0.1,-0.1705123357735153,-12.987429925164394,1.3700000000000003
38,0.1,-0.17230686841750595,-12.871140823718799,1.3800000000000003
39,0.1,-0.1741145458483579,-12.756405072360618,1.3900000000000003
40,0.1,-0.17593550909959157,-12.643190185192845,1.4000000000000004
41,0.1,-0.17776990028283923,-12.531464600772818,1.4100000000000004
42,0.1,-0.17961786259888707,-12.421197649515651,1.4200000000000004
43,0.1,-0.1814795403488207,-12.312359522465172,1.4300000000000004
44,0.1,-0.18335507894521594,-12.204921241365918,1.4400000000000004
45,0.1,-0.18524462492340707,-12.098854629973387,1.4500000000000004
46,0.1,-0.18714832595282066,-11.994132286543195,1.4600000000000004
47,0.1,-0.189066330848377,-11.89072755744303,1.4700000000000004
48,0.1,-0.19099878958196062,-11.788614511834263,1.4800000000000004
49,0.1,-0.19294585329395741,-11.687767917373044,1.4900000000000004
50,0.1,-0.19490767430485342,-11.588163216883263,1.5000000000000004
51,0.1,-0.19688440612693062,-11.48977650595636,1.5100000000000005
52,0.1,-0.19887620347598237,-11.392584511435318,1.5200000000000005
53,0.1,-0.20088322228313737,-11.296564570742385,1.5300000000000005
54,0.1,-0.2029056197067578,-11.201694612012167,1.5400000000000005
55,0.1,-0.20494355414434254,-11.107953134993789,1.5500000000000005
56,0.1,-0.206997185244603,-11.015319192687558,1.5600000000000005
57,0.1,-0.209066673919491,-10.923772373683427,1.5700000000000005
58,0.1,-0.21115218235640054,-10.83329278517018,1.5800000000000005
59,0.1,-0.21325387403034834,-10.743861036585796,1.5900000000000005
60,0.1,-0.21537191371631376,-10.655458223880968,1.6000000000000005
61,0.1,-0.21750646750154357,-10.568065914369118,1.6100000000000005
62,0.1,-0.21965770279801863,-10.481666132137587,1.6200000000000006
63,0.1,-0.2218257883549421,-10.396241343995884,1.6300000000000006
64,0.1,-0.2240108942712807,-10.311774445938118,1.6400000000000006
65,0.1,-0.22621319200842394,-10.228248750097762,1.6500000000000006
66,0.1,-0.2284328544028548,-10.145647972174038,1.6600000000000006
67,0.1,-0.23067005567894544,-10.063956219310127,1.6700000000000006
68,0.1,-0.23292497146174274,-9.98315797840442,1.6800000000000006
69,0.1,-0.2351977787899157,-9.903238104836852,1.6900000000000006
70,0.1,-0.23748865612868866,-9.824181811593238,1.7000000000000006
71,0.1,-0.2397977833828573,-9.74597465877137,1.7100000000000006
72,0.1,-0.24212534190991505,-9.668602543453266,1.7200000000000006
73,0.1,-0.24447151453319801,-9.592051689928837,1.7300000000000006
74,0.1,-0.24683648555509077,-9.516308640256797,1.7400000000000007
75,0.1,-0.24922044077032574,-9.44136024514936,1.7500000000000007
76,0.1,-0.25162356747932474,-9.367193655167833,1.7600000000000007
77,0.1,-0.2540460545016099,-9.293796312216825,1.7700000000000007
78,0.1,-0.2564880921892796,-9.221155941325335,1.7800000000000007
79,0.1,-0.258949872440527,-9.149260542703521,1.7900000000000007
80,0.1,-0.2614315887132395,-9.078098384064395,1.8000000000000007
81,0.1,-0.26393343603865277,-9.007657993200255,1.8100000000000007
82,0.1,-0.2664556110350386,-8.937928150804035,1.8200000000000007
83,0.1,-0.2689983119214902,-8.868897883526211,1.8300000000000007
84,0.1,-0.27156173853173476,-8.800556457258308,1.8400000000000007
85,0.1,-0.2741460923280116,-8.732893370634462,1.8500000000000008
86,0.1,-0.27675157641499537,-8.665898348742804,1.8600000000000008
87,0.1,-0.2793783955537839,-8.599561337038844,1.8700000000000008
88,0.1,-0.2820267561759245,-8.533872495453322,1.8800000000000008
89,0.1,-0.28469686639752917,-8.46882219268734,1.8900000000000008
90,0.1,-0.2873889360333606,-8.404401000687878,1.9000000000000008
91,0.1,-0.29010317661103824,-8.340599689297107,1.9100000000000008
92,0.1,-0.2928398013852743,-8.277409221069115,1.9200000000000008
93,0.1,-0.2955990253521221,-8.214820746248051,1.9300000000000008
94,0.1,-0.29838106526330893,-8.152825597901815,1.9400000000000008
95,0.1,-0.30118613964059565,-8.09141528720574,1.9500000000000008
96,0.1,-0.3040144687901382,-8.030581498870918,1.9600000000000009
97,0.1,-0.3068662748169719,-7.970316086712014,1.9700000000000009
98,0.1,-0.3097417816394372,-7.910611069349666,1.9800000000000009
99,0.1,-0.3126412150036953,-7.851458626042736,1.9900000000000009
