,x,y
0,360,41
1,359,42
2,358,42
3,357,42
4,356,42
5,355,42
6,354,42
7,353,42
8,352,42
9,351,42
10,350,42
11,349,42
12,348,42
13,347,42
14,346,42
15,345,42
16,344,42
17,343,42
18,342,42
19,341,42
20,340,42
21,339,43
22,338,43
23,337,43
24,336,43
25,335,43
26,334,43
27,333,43
28,332,43
29,331,43
30,330,43
31,329,43
32,328,43
33,327,43
34,326,43
35,325,43
36,324,44
37,323,44
38,322,44
39,321,44
40,320,44
41,319,44
42,318,44
43,317,44
44,316,44
45,315,44
46,314,44
47,313,44
48,312,44
49,311,44
50,310,45
51,309,45
52,308,45
53,307,45
54,306,45
55,305,45
56,304,45
57,303,45
58,302,45
59,301,45
60,300,45
61,299,45
62,298,46
63,297,46
64,296,46
65,295,46
66,294,46
67,293,46
68,292,46
69,291,47
70,290,47
71,289,47
72,288,47
73,287,47
74,286,47
75,285,47
76,284,47
77,283,47
78,282,48
79,281,48
80,280,48
81,279,48
82,278,48
83,277,48
84,276,48
85,275,48
86,274,49
87,273,49
88,272,49
89,271,49
90,270,49
91,269,49
92,268,50
93,267,50
94,266,50
95,265,50
96,264,50
97,263,50
98,262,51
99,261,51
100,260,51
101,259,51
102,258,51
103,257,51
104,256,52
105,255,52
106,254,52
107,253,52
108,252,52
109,251,52
110,250,53
111,249,53
112,248,53
113,247,53
114,246,53
115,245,53
116,244,53
117,243,54
118,242,54
119,241,54
120,240,54
121,239,55
122,238,55
123,237,55
124,236,55
125,235,55
126,234,55
127,233,55
128,232,56
129,231,56
130,230,56
131,229,56
132,228,56
133,227,57
134,226,57
135,225,57
136,224,57
137,223,58
138,222,58
139,221,58
140,220,58
141,219,58
142,218,59
143,217,59
144,216,59
145,215,59
146,214,60
147,213,60
148,212,60
149,211,60
150,210,61
151,209,61
152,208,61
153,207,61
154,206,62
155,205,62
156,204,62
157,203,62
158,202,63
159,201,63
160,200,63
161,199,63
162,198,64
163,197,64
164,196,64
165,195,65
166,194,65
167,193,65
168,192,65
169,191,66
170,190,66
171,189,66
172,188,66
173,187,67
174,186,67
175,185,67
176,184,68
177,183,68
178,182,68
179,181,69
180,180,69
181,179,69
182,178,70
183,177,70
184,176,70
185,175,70
186,174,71
187,173,71
188,172,72
189,171,72
190,170,72
191,169,72
192,168,73
193,167,73
194,166,74
195,165,74
196,164,74
197,163,74
198,162,75
199,161,75
200,160,76
201,159,76
202,158,76
203,157,77
204,156,77
205,155,77
206,154,78
207,153,78
208,152,79
209,151,79
210,150,80
211,149,80
212,148,80
213,147,81
214,146,81
215,145,81
216,144,82
217,143,82
218,142,82
219,141,83
220,140,83
221,139,84
222,138,84
223,137,85
224,136,85
225,135,85
226,134,86
227,133,86
228,132,87
229,131,87
230,130,88
231,129,88
232,128,88
233,127,89
234,126,89
235,125,90
236,124,90
237,123,91
238,122,91
239,121,92
240,120,92
241,119,93
242,118,93
243,117,94
244,116,94
245,115,95
246,114,95
247,113,96
248,112,96
249,111,97
250,110,97
251,109,98
252,108,98
253,107,99
254,106,99
255,105,100
256,104,101
257,103,101
258,102,102
259,101,102
260,100,103
261,99,103
262,98,104
263,97,105
264,96,106
265,95,106
266,94,107
267,93,107
268,92,108
269,91,108
270,90,109
271,89,110
272,88,110
273,87,111
274,86,112
275,85,112
276,84,113
277,83,114
278,82,114
279,81,115
280,80,116
281,79,117
282,78,117
283,77,118
284,76,119
285,75,119
286,74,120
287,73,121
288,72,121
289,71,122
290,70,122
291,69,123
292,68,124
293,67,125
294,66,125
295,65,126
296,64,127
297,63,128
298,62,129
299,61,130
300,60,131
301,59,131
302,58,132
303,58,133
304,57,134
305,56,135
306,55,135
307,54,136
308,53,137
309,52,138
310,51,139
311,50,140
312,49,141
313,48,142
314,47,143
315,46,144
316,45,145
317,44,146
318,43,146
319,43,147
320,42,148
321,41,149
322,40,149
323,40,150
324,39,151
325,39,152
326,38,153
327,37,154
328,36,155
329,35,156
330,34,157
331,33,158
332,32,159
333,31,160
334,31,161
335,30,162
336,29,163
337,28,164
338,27,165
339,27,166
340,26,167
341,25,168
342,24,169
343,23,170
344,22,171
345,22,172
346,21,173
347,20,174
348,19,175
349,18,176
350,17,177
351,16,178
352,15,179
353,14,180
354,13,181
355,13,182
356,12,183
357,11,183
358,10,184
359,10,185
360,9,186
361,8,186
362,7,187
363,6,187
364,5,186
365,5,185
366,5,186
367,4,187
368,3,186
369,2,185
370,1,184
371,1,183
372,0,182
373,0,181
374,0,182
375,0,183
376,0,184
377,0,185
378,0,186
379,0,187
380,0,188
381,0,189
382,0,190
383,0,191
384,0,192
385,0,193
386,0,194
387,0,195
388,0,196
389,0,197
390,0,198
391,0,199
392,0,200
393,0,201
394,0,202
395,0,203
396,0,204
397,0,205
398,0,206
399,0,207
400,0,208
401,0,209
402,0,210
403,0,211
404,0,212
405,0,213
406,0,214
407,0,215
408,0,216
409,0,217
410,0,218
411,0,219
412,0,220
413,0,221
414,0,222
415,0,223
416,0,224
417,0,225
418,0,226
419,0,227
420,0,228
421,0,229
422,0,230
423,0,231
424,0,232
425,0,233
426,0,234
427,0,235
428,0,236
429,1,236
430,2,236
431,3,236
432,4,236
433,5,236
434,6,236
435,7,236
436,8,236
437,9,236
438,10,236
439,11,236
440,12,236
441,13,236
442,14,236
443,15,236
444,16,236
445,17,236
446,18,236
447,19,236
448,20,236
449,21,236
450,22,236
451,23,236
452,24,236
453,25,236
454,26,236
455,27,236
456,28,236
457,29,236
458,30,236
459,31,236
460,32,236
461,33,236
462,34,236
463,35,236
464,36,236
465,37,236
466,38,236
467,39,236
468,40,236
469,41,236
470,42,236
471,43,236
472,44,236
473,45,236
474,46,236
475,47,236
476,48,236
477,49,236
478,50,236
479,51,236
480,52,236
481,53,236
482,54,236
483,55,236
484,56,236
485,57,236
486,58,236
487,59,236
488,60,236
489,61,236
490,62,236
491,63,236
492,64,236
493,65,236
494,66,236
495,67,236
496,68,236
497,69,236
498,70,236
499,71,236
500,72,236
501,73,236
502,74,236
503,75,236
504,76,236
505,77,236
506,78,236
507,79,236
508,80,236
509,81,236
510,82,236
511,83,236
512,84,236
513,85,236
514,86,236
515,87,236
516,88,236
517,89,236
518,90,236
519,91,236
520,92,236
521,93,236
522,94,236
523,95,236
524,96,236
525,97,236
526,98,236
527,99,236
528,100,236
529,101,236
530,102,236
531,103,236
532,104,236
533,105,236
534,106,236
535,107,236
536,108,236
537,109,236
538,110,236
539,111,236
540,112,236
541,113,236
542,114,236
543,115,236
544,116,236
545,117,236
546,118,236
547,119,236
548,120,236
549,121,236
550,122,236
551,123,236
552,124,236
553,125,236
554,126,236
555,127,236
556,128,236
557,129,236
558,130,236
559,131,236
560,132,236
561,133,236
562,134,236
563,135,236
564,136,236
565,137,236
566,138,236
567,139,236
568,140,236
569,141,236
570,142,236
571,143,236
572,144,236
573,145,236
574,146,236
575,147,236
576,148,236
577,149,236
578,150,236
579,151,236
580,152,236
581,153,236
582,154,236
583,155,236
584,156,236
585,157,236
586,158,236
587,159,236
588,160,236
589,161,236
590,162,236
591,163,236
592,164,236
593,165,236
594,166,236
595,167,236
596,168,236
597,169,236
598,170,236
599,171,236
600,172,236
601,173,236
602,174,236
603,175,236
604,176,236
605,177,236
606,178,236
607,179,236
608,180,236
609,181,236
610,182,236
611,183,236
612,184,236
613,185,236
614,186,236
615,187,236
616,188,236
617,189,236
618,190,236
619,191,236
620,192,236
621,193,236
622,194,236
623,195,236
624,196,236
625,197,236
626,198,236
627,199,236
628,200,236
629,201,236
630,202,236
631,203,236
632,204,236
633,205,236
634,206,236
635,207,236
636,208,236
637,209,236
638,210,236
639,211,236
640,212,236
641,213,236
642,214,236
643,215,236
644,216,236
645,217,236
646,218,236
647,219,236
648,220,236
649,221,236
650,222,236
651,223,236
652,224,236
653,225,236
654,226,236
655,227,236
656,228,236
657,229,236
658,230,236
659,231,236
660,232,236
661,233,236
662,234,236
663,235,236
664,236,236
665,237,236
666,238,236
667,239,236
668,240,236
669,241,236
670,242,236
671,243,236
672,244,236
673,245,236
674,246,236
675,247,236
676,248,236
677,249,236
678,250,236
679,251,236
680,252,236
681,253,236
682,254,236
683,255,236
684,256,236
685,257,236
686,258,236
687,259,236
688,260,236
689,261,236
690,262,236
691,263,236
692,264,236
693,265,236
694,266,236
695,267,236
696,268,236
697,269,236
698,270,236
699,271,236
700,272,236
701,273,236
702,274,236
703,275,236
704,276,236
705,277,236
706,278,236
707,279,236
708,280,236
709,281,236
710,282,236
711,283,236
712,284,236
713,285,236
714,286,236
715,287,236
716,288,236
717,289,236
718,290,236
719,291,236
720,292,236
721,293,236
722,294,236
723,295,236
724,296,236
725,297,236
726,298,236
727,299,236
728,300,236
729,301,236
730,302,236
731,303,236
732,304,236
733,305,236
734,306,236
735,307,236
736,308,236
737,309,236
738,310,236
739,311,236
740,312,236
741,313,236
742,314,236
743,315,236
744,316,236
745,317,236
746,318,236
747,319,236
748,320,236
749,321,236
750,322,236
751,323,236
752,324,236
753,325,236
754,326,236
755,327,236
756,328,236
757,329,236
758,330,236
759,331,236
760,332,236
761,333,236
762,334,236
763,335,236
764,336,236
765,337,236
766,338,236
767,339,236
768,340,236
769,341,236
770,342,236
771,343,236
772,344,236
773,345,236
774,346,236
775,347,236
776,348,236
777,349,236
778,350,236
779,351,236
780,352,236
781,353,236
782,354,236
783,355,236
784,356,236
785,357,236
786,358,236
787,359,236
788,360,236
789,361,236
790,362,236
791,363,236
792,364,236
793,365,236
794,366,236
795,367,236
796,368,236
797,369,236
798,370,236
799,371,236
800,372,236
801,373,236
802,374,236
803,375,236
804,376,236
805,377,236
806,378,236
807,379,236
808,380,236
809,381,236
810,382,236
811,383,236
812,384,236
813,385,236
814,386,236
815,387,236
816,388,236
817,389,236
818,390,236
819,391,236
820,392,236
821,393,236
822,394,236
823,395,236
824,396,236
825,397,236
826,398,236
827,399,236
828,400,236
829,401,236
830,402,236
831,403,236
832,404,236
833,405,236
834,406,236
835,407,236
836,408,236
837,409,236
838,410,236
839,411,236
840,412,236
841,413,236
842,414,236
843,415,236
844,416,236
845,417,236
846,418,236
847,419,236
848,420,236
849,421,236
850,422,236
851,423,236
852,424,236
853,425,236
854,426,236
855,427,236
856,428,236
857,429,236
858,430,236
859,431,236
860,432,236
861,433,236
862,434,236
863,435,236
864,436,236
865,437,236
866,438,236
867,439,236
868,440,236
869,441,236
870,442,236
871,443,236
872,444,236
873,445,236
874,446,236
875,447,236
876,448,236
877,449,236
878,450,236
879,451,236
880,452,236
881,453,236
882,454,236
883,455,236
884,456,236
885,457,236
886,458,236
887,459,236
888,460,236
889,461,236
890,462,236
891,463,236
892,464,236
893,465,236
894,466,236
895,467,236
896,468,236
897,469,236
898,470,236
899,471,236
900,472,236
901,473,236
902,474,236
903,475,236
904,476,236
905,477,236
906,478,236
907,479,236
908,480,236
909,481,236
910,482,236
911,483,236
912,484,236
913,485,236
914,486,236
915,487,236
916,488,236
917,489,236
918,490,236
919,491,236
920,492,236
921,493,236
922,494,236
923,495,236
924,496,236
925,497,236
926,498,236
927,499,236
928,500,236
929,501,236
930,502,236
931,503,236
932,504,236
933,505,236
934,506,236
935,507,236
936,508,236
937,509,236
938,510,236
939,511,236
940,512,236
941,513,236
942,514,236
943,515,236
944,516,236
945,517,236
946,518,236
947,519,236
948,520,236
949,521,236
950,522,236
951,523,236
952,524,236
953,525,236
954,526,236
955,527,236
956,528,236
957,529,236
958,530,236
959,531,236
960,532,236
961,533,236
962,534,236
963,535,236
964,536,236
965,537,236
966,538,236
967,539,236
968,540,236
969,541,236
970,542,236
971,543,236
972,544,236
973,545,236
974,546,236
975,547,236
976,548,236
977,549,236
978,550,236
979,551,236
980,552,236
981,553,236
982,554,236
983,555,236
984,556,236
985,557,236
986,558,236
987,559,236
988,560,236
989,561,236
990,562,236
991,563,236
992,564,236
993,565,236
994,566,236
995,567,236
996,568,236
997,569,236
998,570,236
999,571,236
1000,572,236
1001,573,236
1002,574,236
1003,575,236
1004,576,236
1005,577,236
1006,578,236
1007,579,236
1008,580,236
1009,581,236
1010,582,236
1011,583,236
1012,584,236
1013,585,236
1014,586,236
1015,587,236
1016,588,236
1017,589,236
1018,590,236
1019,591,236
1020,592,236
1021,593,236
1022,594,236
1023,595,236
1024,596,236
1025,597,236
1026,598,236
1027,599,236
1028,600,236
1029,601,236
1030,602,236
1031,603,236
1032,604,236
1033,605,236
1034,606,236
1035,607,236
1036,608,236
1037,609,236
1038,610,236
1039,611,236
1040,612,236
1041,613,236
1042,614,236
1043,615,236
1044,616,236
1045,617,236
1046,618,236
1047,619,236
1048,620,236
1049,621,236
1050,622,236
1051,623,236
1052,624,236
1053,625,236
1054,626,236
1055,627,236
1056,628,236
1057,629,236
1058,630,236
1059,631,236
1060,632,236
1061,633,236
1062,634,236
1063,635,236
1064,636,236
1065,637,236
1066,638,236
1067,639,236
1068,640,236
1069,641,236
1070,642,236
1071,643,236
1072,644,236
1073,645,236
1074,646,236
1075,647,236
1076,648,236
1077,649,236
1078,650,236
1079,651,236
1080,652,236
1081,653,236
1082,654,236
1083,655,236
1084,656,236
1085,657,236
1086,658,236
1087,659,236
1088,660,236
1089,661,236
1090,662,236
1091,663,236
1092,664,236
1093,665,236
1094,666,236
1095,667,236
1096,668,236
1097,669,236
1098,670,236
1099,671,236
1100,672,236
1101,673,236
1102,674,236
1103,675,236
1104,676,236
1105,677,236
1106,678,236
1107,679,236
1108,680,236
1109,681,236
