,x,y
0,127,37
1,126,38
2,125,38
3,124,38
4,123,38
5,122,38
6,121,38
7,120,38
8,119,38
9,118,38
10,117,38
11,116,38
12,115,39
13,114,39
14,113,39
15,112,39
16,111,39
17,110,39
18,109,39
19,108,39
20,107,40
21,106,40
22,105,40
23,104,40
24,103,40
25,102,41
26,101,41
27,100,41
28,99,41
29,98,41
30,97,42
31,96,42
32,95,42
33,94,43
34,93,43
35,92,43
36,91,44
37,90,44
38,89,44
39,88,45
40,87,45
41,86,45
42,85,45
43,84,46
44,83,46
45,82,47
46,81,47
47,80,48
48,79,48
49,78,48
50,77,49
51,76,50
52,75,50
53,74,51
54,73,51
55,72,52
56,71,52
57,70,53
58,69,53
59,68,54
60,67,55
61,66,56
62,65,57
63,64,57
64,63,58
65,62,59
66,61,60
67,60,61
68,59,61
69,59,62
70,58,63
71,57,63
72,57,64
73,56,65
74,55,65
75,55,66
76,54,67
77,53,68
78,52,69
79,51,70
80,51,71
81,50,72
82,49,73
83,49,74
84,48,75
85,48,76
86,47,77
87,47,78
88,47,79
89,46,80
90,46,81
91,46,82
92,45,83
93,45,84
94,45,85
95,45,86
96,45,87
97,45,88
98,45,89
99,45,90
100,44,91
101,44,92
102,43,93
103,44,93
104,45,93
105,46,93
106,47,93
107,48,93
108,49,93
109,50,93
110,51,93
111,52,93
112,53,93
113,54,93
114,55,93
115,56,93
116,57,93
117,58,93
118,59,93
119,60,93
120,61,93
121,62,93
122,63,92
123,64,92
124,65,92
125,66,92
126,67,92
127,68,92
128,69,93
129,70,93
130,71,93
131,72,93
132,73,93
133,74,92
134,75,93
135,76,93
136,77,93
137,78,93
138,79,93
139,80,93
140,81,93
141,82,93
142,83,93
143,84,93
144,85,93
145,86,93
146,87,93
147,88,92
148,89,92
149,90,92
150,91,92
151,92,92
152,93,92
153,94,92
154,95,92
155,96,92
156,97,92
157,98,92
158,99,92
159,100,93
160,101,93
161,102,93
162,103,93
163,104,93
164,105,93
165,106,93
166,107,93
167,108,93
168,109,93
169,110,93
170,111,93
171,112,93
172,113,93
173,114,93
174,115,93
175,116,93
176,117,93
177,118,93
178,119,93
179,120,93
180,121,93
181,122,93
182,123,93
183,124,93
184,125,93
185,126,93
186,127,93
187,128,93
188,129,93
189,130,93
190,131,93
191,132,93
192,133,93
193,134,93
194,135,93
195,136,93
196,137,93
197,138,93
198,139,93
199,140,93
200,141,93
201,142,93
202,143,93
203,144,93
204,145,93
205,146,93
206,147,93
207,148,93
208,149,93
209,150,93
210,151,93
211,152,93
212,153,93
213,154,93
214,155,93
215,156,93
216,157,93
217,158,93
218,159,93
219,160,93
220,161,93
221,162,93
222,163,93
223,164,93
224,165,93
225,166,93
226,167,93
227,168,93
228,169,93
229,170,93
230,171,93
231,172,93
232,173,93
233,174,93
234,175,93
235,176,93
236,177,93
237,178,93
238,179,93
239,180,93
240,181,93
241,182,93
242,183,93
243,184,93
244,185,93
245,186,93
246,187,93
247,188,93
248,189,93
249,190,93
250,191,93
251,192,93
252,193,93
253,194,93
254,195,93
255,196,93
256,197,93
257,198,93
258,199,93
259,200,93
260,201,93
261,202,93
262,203,93
263,204,92
264,205,93
265,206,93
266,207,93
267,208,93
268,209,93
269,210,93
270,211,93
271,212,93
272,213,93
273,214,93
274,215,93
275,216,93
276,217,93
277,218,93
278,219,93
279,220,93
280,221,93
281,222,93
282,223,93
283,224,93
284,225,93
285,226,93
286,227,93
287,228,93
288,229,93
289,230,93
290,231,93
291,232,93
292,233,93
293,234,93
294,235,93
295,236,93
296,237,93
297,238,93
298,239,93
299,240,93
300,241,93
301,242,93
302,243,93
303,244,93
304,245,93
305,246,93
306,247,93
307,246,92
308,246,91
309,245,90
310,245,89
311,245,88
312,244,87
313,244,86
314,244,85
315,243,84
316,243,83
317,243,82
318,242,81
319,242,80
320,241,79
321,241,78
322,240,77
323,239,76
324,239,75
325,238,74
326,237,73
327,237,72
328,236,71
329,235,70
330,234,69
331,233,68
332,232,67
333,231,66
334,230,65
335,229,64
336,228,63
337,227,62
338,226,61
339,225,61
340,224,60
341,223,59
342,222,59
343,221,58
344,220,57
345,219,57
346,218,56
347,217,55
348,216,55
349,215,54
350,214,54
351,213,53
352,212,52
353,211,52
354,210,52
355,209,51
356,208,51
357,207,50
358,206,50
359,205,49
360,204,49
361,203,49
362,202,48
363,201,48
364,200,48
365,199,47
366,198,47
367,197,46
368,196,46
369,195,46
370,194,45
371,193,45
372,192,45
373,191,44
374,190,44
375,189,44
376,188,43
377,187,43
378,186,43
379,185,43
380,184,43
381,183,42
382,182,42
383,181,42
384,180,42
385,179,41
386,178,41
387,177,41
388,176,41
389,175,41
390,174,40
391,173,40
392,172,40
393,171,40
394,170,40
395,169,39
396,168,39
397,167,39
398,166,39
399,165,39
400,164,39
401,163,39
402,162,38
403,161,38
404,160,38
405,159,38
406,158,38
407,157,38
408,156,38
409,155,38
410,154,38
411,153,38
412,152,38
413,151,38
414,150,37
415,149,37
416,148,37
417,147,37
418,146,37
419,145,37
420,144,37
421,143,37
422,142,37
423,141,37
424,140,37
425,139,37
426,138,37
427,137,37
428,136,37
429,135,37
430,134,37
431,133,37
432,132,37
433,131,37
434,130,37
435,129,37
436,128,37
